prey_name,family,diet,habitat,urban,mig_strat,log10_mass,age_mature,feeder_bird
Mexican Jay,Corvidae,Omnivore,Woodland,No,Resident,2.12,3,Occassionally
Monk Parakeet,Psittacidae,Seed,Various,Yes,Resident,2.08,2.5,Occassionally
Montezuma Quail,Odontophoridae,Omnivore,Woodland,No,Resident,2.27,1,Occassionally
Mottled Duck,Anatidae,Omnivore,Wetland,No,Withdrawal,2.99,1,No
Mountain Bluebird,Turdidae,Invertebrates,Shrubland,No,Short,1.47,1,Occassionally
Mountain Chickadee,Paridae,Invertebrates,Woodland,Yes,Resident,1.05,1,Yes
Mountain Plover,Charadriidae,Invertebrates,Grassland,No,Moderate,1.98,1,No
Mountain Quail,Odontophoridae,Seed,Shrubland,No,Resident,2.36,1,Occassionally
Mourning Dove,Columbidae,Seed,Various,Yes,Withdrawal,2.08,0.3,Yes
Mute Swan,Anatidae,Vegetation,Wetland,Yes,Resident,4.03,2.5,No
Nashville Warbler,Parulidae,Invertebrates,Woodland,No,Moderate,0.91,1,No
Nelson's and Saltmarsh Sparrow ‡‡,Emberizidae,Omnivore,Wetland,No,Short,1.23,1,No
Neotropic Cormorant,Phalacrocoracidae,Vertebrates,Wetland,No,Withdrawal,3.15,1,No
Northern Beardless-Tyrannulet,Tyrannidae,Invertebrates,Woodland,No,Withdrawal,0.85,2,No
